id,name,fullname,name-revised,fullname-revised
WOS:000086046100004,"Pei, Y|Dy, LC|Natarajan, S|Travers, JB","Pei, Y|Dy, LC|Natarajan, S|Travers, JB","Pei, Y|Dy, LC|Natarajan, S|Travers, JB","Pei, Y|Dy, LC|Natarajan, Sriraam|Travers, JB"
WOS:000086471500023,"Borner, K","Borner, K","Borner, K","Borner, Katy"
WOS:000089401000013,"Borner, K|Dillon, A|Dolinsky, M","Borner, K|Dillon, A|Dolinsky, M","Borner, K|Dillon, A|Dolinsky, M","Borner, Katy|Dillon, A|Dolinsky, M"
WOS:000089401000028,"Borner, K","Borner, K","Borner, K","Borner, Katy"
WOS:000166835600006,"Leake, DB|Wilson, DC","Leake, DB|Wilson, DC","Leake, DB|Wilson, DC","Leake, David B.|Wilson, DC"
WOS:000168648600005,"Fox, S|Leake, DB","Fox, S|Leake, DB","Fox, S|Leake, DB","Fox, S|Leake, David B."
WOS:000169055300001,"Leake, DB|Smyth, B|Wilson, DC|Yang, Q","Leake, DB|Smyth, B|Wilson, DC|Yang, Q","Leake, DB|Smyth, B|Wilson, DC|Yang, Q","Leake, David B.|Smyth, B|Wilson, DC|Yang, Q"
WOS:000169055300002,"Wilson, DC|Leake, DB","Wilson, DC|Leake, DB","Wilson, DC|Leake, DB","Wilson, DC|Leake, David B."
WOS:000169492100011,"Fox, G|Gannon, D","Fox, G|Gannon, D","Fox, GC|Gannon, D","Fox, Geoffrey C.|Gannon, D"
WOS:000170725100001,"Borner, K","Borner, K","Borner, K","Borner, Katy"
WOS:000171392800018,"Borner, K|Lin, YC","Borner, K|Lin, YC","Borner, K|Lin, YC","Borner, Katy|Lin, YC"
WOS:000171392800036,"Borner, K|Zhou, YZ","Borner, K|Zhou, YZ","Borner, K|Zhou, YZ","Borner, Katy|Zhou, YZ"
WOS:000174951000015,"Leake, DB|Wilson, DC","Leake, DB|Wilson, DC","Leake, DB|Wilson, DC","Leake, David B.|Wilson, DC"
WOS:000175008700023,"Leake, DB|Sooriamurthi, R","Leake, DB|Sooriamurthi, R","Leake, DB|Sooriamurthi, R","Leake, David B.|Sooriamurthi, R"
WOS:000175010900003,"Bauer, T|Leake, DB","Bauer, T|Leake, DB","Bauer, T|Leake, DB","Bauer, T|Leake, David B."
WOS:000175131400014,"Fox, G","Fox, G","Fox, GC","Fox, Geoffrey C."
WOS:000176142900002,"Fox, G|Ko, SH|Pierce, M|Balsoy, O|Kim, J|Lee, S|Kim, K|Oh, S|Rao, X|Varank, M|Bulut, H|Gunduz, G|Qiu, XH|Pallickara, S|Uyar, A|Youn, CH","Fox, G|Ko, SH|Pierce, M|Balsoy, O|Kim, J|Lee, S|Kim, K|Oh, S|Rao, X|Varank, M|Bulut, H|Gunduz, G|Qiu, XH|Pallickara, S|Uyar, A|Youn, CH","Fox, GC|Ko, SH|Pierce, M|Balsoy, O|Kim, J|Lee, S|Kim, K|Oh, S|Rao, X|Varank, M|Bulut, H|Gunduz, G|Qiu, XH|Pallickara, S|Uyar, A|Youn, CH","Fox, Geoffrey C.|Ko, SH|Pierce, M|Balsoy, O|Kim, J|Lee, S|Kim, K|Oh, S|Rao, X|Varank, M|Bulut, H|Gunduz, G|Qiu, XH|Pallickara, S|Uyar, A|Youn, CH"
WOS:000176483400014,"Fox, G","Fox, G","Fox, GC","Fox, Geoffrey C."
WOS:000176709300023,"Feng, Y|Borner, K","Feng, Y|Borner, K","Feng, Y|Borner, K","Feng, Y|Borner, Katy"
WOS:000177323000004,"Borner, K|Hazlewood, WR|Lin, SM","Borner, K|Hazlewood, WR|Lin, SM","Borner, K|Hazlewood, WR|Lin, SM","Borner, Katy|Hazlewood, WR|Lin, SM"
WOS:000177608000014,"Fox, G","Fox, G","Fox, GC","Fox, Geoffrey C."
WOS:000179534500007,"Bauer, T|Leake, D","Bauer, T|Leake, D","Bauer, T|Leake, DB","Bauer, T|Leake, David B."
WOS:000179918000006,"Borner, K|Chen, CM|Boyack, KW","Borner, K|Chen, CM|Boyack, KW","Borner, K|Chen, CM|Boyack, KW","Borner, Katy|Chen, CM|Boyack, KW"
WOS:000180137200020,"Borner, K","Borner, K","Borner, K","Borner, Katy"
WOS:000180179900001,"Fox, G|Gannon, D|Thomas, M","Fox, G|Gannon, D|Thomas, M","Fox, GC|Gannon, D|Thomas, M","Fox, Geoffrey C.|Gannon, D|Thomas, M"
WOS:000180179900006,"Fox, GC|Pallickara, S","Fox, GC|Pallickara, S","Fox, GC|Pallickara, S","Fox, Geoffrey C.|Pallickara, S"
WOS:000180179900021,"Pierce, ME|Youn, C|Fox, GC","Pierce, ME|Youn, C|Fox, GC","Pierce, ME|Youn, C|Fox, GC","Pierce, ME|Youn, C|Fox, Geoffrey C."
WOS:000180277800068,"Rasmussen, E|Atkins, HB|Borner, K|McCain, KW","Rasmussen, E|Atkins, HB|Borner, K|McCain, KW","Rasmussen, E|Atkins, HB|Borner, K|McCain, KW","Rasmussen, E|Atkins, HB|Borner, Katy|McCain, KW"
WOS:000180288600001,"Leake, D","Leake, D","Leake, DB","Leake, David B."
WOS:000181097600002,"Fox, G","Fox, G","Fox, GC","Fox, Geoffrey C."
WOS:000181238300011,"Boyack, KW|Borner, K","Boyack, KW|Borner, K","Boyack, KW|Borner, K","Boyack, KW|Borner, Katy"
WOS:000181350500002,"Fox, G|Balsoy, O|Pallickara, S|Uyar, A|Gannon, D|Slominski, A","Fox, G|Balsoy, O|Pallickara, S|Uyar, A|Gannon, D|Slominski, A","Fox, GC|Balsoy, O|Pallickara, S|Uyar, A|Gannon, D|Slominski, A","Fox, Geoffrey C.|Balsoy, O|Pallickara, S|Uyar, A|Gannon, D|Slominski, A"
WOS:000181350500051,"Pierce, M|Youn, C|Fox, G","Pierce, M|Youn, C|Fox, G","Pierce, M|Youn, C|Fox, GC","Pierce, M|Youn, C|Fox, Geoffrey C."
WOS:000181361400001,"Fox, GC","Fox, GC","Fox, GC","Fox, Geoffrey C."
