Unique ID,Title,Authors,Authors-revised,Authors (Full Names),Authors (Full Names)-revised
WOS:000377412300144,Quasispecies Reconstruction Based on Vertex Coloring Algorithms,"Bu, DY|Tang, HX","Bu, DY|Tang, HX","Bu, Diyue|Tang, Haixu","Bu, Diyue|Tang, Haixu"
WOS:000377412300107,Identification and Characterization of Accessory Genomes in Bacterial Species Based on Genome Comparison and Metagenomic Recruitment,"Wang, MJ|Tang, HX|Ye, YZ","Wang, MJ|Tang, HX|Ye, YZ","Wang, Mingjie|Tang, Haixu|Ye, Yuzhen","Wang, Mingjie|Tang, Haixu|Ye, Yuzhen"
WOS:000343005700205,Characterization of microbial associations in human oral microbiome,"Lee, MS|Oh, S|Tang, HX","Lee, MS|Oh, S|Tang, HX","Lee, Min Su|Oh, Sangyoon|Tang, Haixu","Lee, Min Su|Oh, Sangyoon|Tang, Haixu"
WOS:000330537000021,Interlaboratory Study on Differential Analysis of Protein Glycosylation by Mass Spectrometry: The ABRF Glycoprotein Research Multi-Institutional Study 2012,"Leymarie, N|Griffin, PJ|Jonscher, K|Kolarich, D|Orlando, R|McComb, M|Zaia, J|Aguilan, J|Alley, WR|Altmann, F|Ball, LE|Basumallick, L|Bazemore-Walker, CR|Behnken, H|Blank, MA|Brown, KJ|Bunz, SC|Cairo, CW|Cipollo, JF|Daneshfar, R|Desaire, H|Drake, RR|Go, EP|Goldman, R|Gruber, C|Halim, A|Hathout, Y|Hensbergen, PJ|Horn, DM|Hurum, D|Jabs, W|Larson, G|Ly, M|Mann, BF|Marx, K|Mechref, Y|Meyer, B|Moginger, U|Neususs, C|Nilsson, J|Novotny, MV|Nyalwidhe, JO|Packer, NH|Pompach, P|Reiz, B|Resemann, A|Rohrer, JS|Ruthenbeck, A|Sanda, M|Schulz, JM|Schweiger-Hufnagel, U|Sihlbom, C|Song, E|Staples, GO|Suckau, D|Tang, HX|Thaysen-Andersen, M|Viner, RI|An, YM|Valmuv, L|Wada, Y|Watson, M|Windwarder, M|Whittal, R|Wuhrer, M|Zhu, YY|Zou, CX","Leymarie, N|Griffin, PJ|Jonscher, K|Kolarich, D|Orlando, R|McComb, M|Zaia, J|Aguilan, J|Alley, WR|Altmann, F|Ball, LE|Basumallick, L|Bazemore-Walker, CR|Behnken, H|Blank, MA|Brown, KJ|Bunz, SC|Cairo, CW|Cipollo, JF|Daneshfar, R|Desaire, H|Drake, RR|Go, EP|Goldman, R|Gruber, C|Halim, A|Hathout, Y|Hensbergen, PJ|Horn, DM|Hurum, D|Jabs, W|Larson, G|Ly, M|Mann, BF|Marx, K|Mechref, Y|Meyer, B|Moginger, U|Neususs, C|Nilsson, J|Novotny, MV|Nyalwidhe, JO|Packer, NH|Pompach, P|Reiz, B|Resemann, A|Rohrer, JS|Ruthenbeck, A|Sanda, M|Schulz, JM|Schweiger-Hufnagel, U|Sihlbom, C|Song, E|Staples, GO|Suckau, D|Tang, HX|Thaysen-Andersen, M|Viner, RI|An, YM|Valmuv, L|Wada, Y|Watson, M|Windwarder, M|Whittal, R|Wuhrer, M|Zhu, YY|Zou, CX","Leymarie, Nancy|Griffin, Paula J.|Jonscher, Karen|Kolarich, Daniel|Orlando, Ron|McComb, Mark|Zaia, Joseph|Aguilan, Jennifer|Alley, William R.|Altmann, Friederich|Ball, Lauren E.|Basumallick, Lipika|Bazemore-Walker, Carthene R.|Behnken, Henning|Blank, Michael A.|Brown, Kristy J.|Bunz, Svenja-Catharina|Cairo, Christopher W.|Cipollo, John F.|Daneshfar, Rambod|Desaire, Heather|Drake, Richard R.|Go, Eden P.|Goldman, Radoslav|Gruber, Clemens|Halim, Adnan|Hathout, Yetrib|Hensbergen, Paul J.|Horn, David M.|Hurum, Deanna|Jabs, Wolfgang|Larson, Goran|Ly, Mellisa|Mann, Benjamin F.|Marx, Kristina|Mechref, Yehia|Meyer, Bernd|Moeginger, Uwe|Neusuess, Christian|Nilsson, Jonas|Novotny, Milos V.|Nyalwidhe, Julius O.|Packer, Nicolle H.|Pompach, Petr|Reiz, Bela|Resemann, Anja|Rohrer, Jeffrey S.|Ruthenbeck, Alexandra|Sanda, Miloslav|Schulz, Jan Mirco|Schweiger-Hufnagel, Ulrike|Sihlbom, Carina|Song, Ehwang|Staples, Gregory O.|Suckau, Detlev|Tang, Haixu|Thaysen-Andersen, Morten|Viner, Rosa I.|An, Yanming|Valmuv, Leena|Wada, Yoshinao|Watson, Megan|Windwarder, Markus|Whittal, Randy|Wuhrer, Manfred|Zhu, Yiying|Zou, Chunxia","Leymarie, Nancy|Griffin, Paula J.|Jonscher, Karen|Kolarich, Daniel|Orlando, Ron|McComb, Mark|Zaia, Joseph|Aguilan, Jennifer|Alley, William R.|Altmann, Friederich|Ball, Lauren E.|Basumallick, Lipika|Bazemore-Walker, Carthene R.|Behnken, Henning|Blank, Michael A.|Brown, Kristy J.|Bunz, Svenja-Catharina|Cairo, Christopher W.|Cipollo, John F.|Daneshfar, Rambod|Desaire, Heather|Drake, Richard R.|Go, Eden P.|Goldman, Radoslav|Gruber, Clemens|Halim, Adnan|Hathout, Yetrib|Hensbergen, Paul J.|Horn, David M.|Hurum, Deanna|Jabs, Wolfgang|Larson, Goran|Ly, Mellisa|Mann, Benjamin F.|Marx, Kristina|Mechref, Yehia|Meyer, Bernd|Moeginger, Uwe|Neusuess, Christian|Nilsson, Jonas|Novotny, Milos V.|Nyalwidhe, Julius O.|Packer, Nicolle H.|Pompach, Petr|Reiz, Bela|Resemann, Anja|Rohrer, Jeffrey S.|Ruthenbeck, Alexandra|Sanda, Miloslav|Schulz, Jan Mirco|Schweiger-Hufnagel, Ulrike|Sihlbom, Carina|Song, Ehwang|Staples, Gregory O.|Suckau, Detlev|Tang, Haixu|Thaysen-Andersen, Morten|Viner, Rosa I.|An, Yanming|Valmuv, Leena|Wada, Yoshinao|Watson, Megan|Windwarder, Markus|Whittal, Randy|Wuhrer, Manfred|Zhu, Yiying|Zou, Chunxia"
WOS:000326005600006,A new method for stranded whole transcriptome RNA-seq,"Miller, DFB|Yan, PS|Buechlein, A|Rodriguez, BA|Yilmaz, AS|Goel, S|Lin, H|Collins-Burow, B|Rhodes, LV|Braun, C|Pradeep, S|Rupaimoole, R|Dalkilic, M|Sood, AK|Burow, ME|Tang, HX|Huang, TH|Liu, YL|Rusch, DB|Nephew, KP","Miller, DFB|Yan, PS|Buechlein, A|Rodriguez, BA|Yilmaz, AS|Goel, S|Lin, H|Collins-Burow, B|Rhodes, LV|Braun, C|Pradeep, S|Rupaimoole, R|Dalkilic, M|Sood, AK|Burow, ME|Tang, HX|Huang, TH|Liu, YL|Rusch, DB|Nephew, KP","Miller, David F. B.|Yan, Pearlly S.|Buechlein, Aaron|Rodriguez, Benjamin A.|Yilmaz, Ayse S.|Goel, Shokhi|Lin, Hai|Collins-Burow, Bridgette|Rhodes, Lyndsay V.|Braun, Chris|Pradeep, Sunila|Rupaimoole, Rajesha|Dalkilic, Mehmet|Sood, Anil K.|Burow, Matthew E.|Tang, Haixu|Huang, Tim H.|Liu, Yunlong|Rusch, Douglas B.|Nephew, Kenneth P.","Miller, David F. B.|Yan, Pearlly S.|Buechlein, Aaron|Rodriguez, Benjamin A.|Yilmaz, Ayse S.|Goel, Shokhi|Lin, Hai|Collins-Burow, Bridgette|Rhodes, Lyndsay V.|Braun, Chris|Pradeep, Sunila|Rupaimoole, Rajesha|Dalkilic, Mehmet|Sood, Anil K.|Burow, Matthew E.|Tang, Haixu|Huang, Tim H.|Liu, Yunlong|Rusch, Douglas B.|Nephew, Kenneth P."
WOS:000329618401828,Identification and quantification of glycans in glycomics: Towards biomarker discovery for human diseases,"Yu, CY|Mayampurath, A|Tang, HX","Yu, CY|Mayampurath, A|Tang, HX","Yu, Chuan-Yih|Mayampurath, Anoop|Tang, Haixu","Yu, Chuan-Yih|Mayampurath, Anoop|Tang, Haixu"
WOS:000328839100025,Quantitative Measurement of Phosphoproteome Response to Osmotic Stress in Arabidopsis Based on Library-Assisted eXtracted Ion Chromatogram (LAXIC),"Xue, L|Wang, PC|Wang, LS|Renzi, E|Radivojac, P|Tang, HX|Arnold, R|Zhu, JK|Tao, WA","Xue, L|Wang, PC|Wang, LS|Renzi, E|Radivojac, P|Tang, HX|Arnold, R|Zhu, JK|Tao, WA","Xue, Liang|Wang, Pengcheng|Wang, Lianshui|Renzi, Emily|Radivojac, Predrag|Tang, Haixu|Arnold, Randy|Zhu, Jian-Kang|Tao, W. Andy","Xue, Liang|Wang, Pengcheng|Wang, Lianshui|Renzi, Emily|Radivojac, Predrag|Tang, Haixu|Arnold, Randy|Zhu, Jian-Kang|Tao, W. Andy"
WOS:000321746100065,Automated annotation and quantification of glycans using liquid chromatography-mass spectrometry,"Yu, CY|Mayampurath, A|Hu, YL|Zhou, SY|Mechref, Y|Tang, HX","Yu, CY|Mayampurath, A|Hu, YL|Zhou, SY|Mechref, Y|Tang, HX","Yu, Chuan-Yih|Mayampurath, Anoop|Hu, Yunli|Zhou, Shiyue|Mechref, Yehia|Tang, Haixu","Yu, Chuan-Yih|Mayampurath, Anoop|Hu, Yunli|Zhou, Shiyue|Mechref, Yehia|Tang, Haixu"
WOS:000317893400109,Testosterone Affects Neural Gene Expression Differently in Male and Female Juncos: A Role for Hormones in Mediating Sexual Dimorphism and Conflict,"Peterson, MP|Rosvall, KA|Choi, JH|Ziegenfus, C|Tang, HX|Colbourne, JK|Ketterson, ED","Peterson, MP|Rosvall, KA|Choi, JH|Ziegenfus, C|Tang, HX|Colbourne, JK|Ketterson, ED","Peterson, Mark P.|Rosvall, Kimberly A.|Choi, Jeong-Hyeon|Ziegenfus, Charles|Tang, Haixu|Colbourne, John K.|Ketterson, Ellen D.","Peterson, Mark P.|Rosvall, Kimberly A.|Choi, Jeong-Hyeon|Ziegenfus, Charles|Tang, Haixu|Colbourne, John K.|Ketterson, Ellen D."
WOS:000317341500006,Quantitative Glycomics Strategies,"Mechref, Y|Hu, YL|Desantos-Garcia, JL|Hussein, A|Tang, HX","Mechref, Y|Hu, YL|Desantos-Garcia, JL|Hussein, A|Tang, HX","Mechref, Yehia|Hu, Yunli|Desantos-Garcia, Janie L.|Hussein, Ahmed|Tang, Haixu","Mechref, Yehia|Hu, Yunli|Desantos-Garcia, Janie L.|Hussein, Ahmed|Tang, Haixu"
WOS:000316864200051,Probabilistic Inference of Biochemical Reactions in Microbial Communities from Metagenomic Sequences,"Jiao, DZ|Ye, YZ|Tang, HX","Jiao, DZ|Ye, YZ|Tang, HX","Jiao, Dazhi|Ye, Yuzhen|Tang, Haixu","Jiao, Dazhi|Ye, Yuzhen|Tang, Haixu"
WOS:000315967000005,Extending the coverage of spectral libraries: A neighbor-based approach to predicting intensities of peptide fragmentation spectra,"Ji, C|Arnold, RJ|Sokoloski, KJ|Hardy, RW|Tang, HX|Radivojac, P","Ji, C|Arnold, RJ|Sokoloski, KJ|Hardy, RW|Tang, HX|Radivojac, P","Ji, Chao|Arnold, Randy J.|Sokoloski, Kevin J.|Hardy, Richard W.|Tang, Haixu|Radivojac, Predrag","Ji, Chao|Arnold, Randy J.|Sokoloski, Kevin J.|Hardy, Richard W.|Tang, Haixu|Radivojac, Predrag"
