id,name,fullname,name-revised,fullname-revised
WOS:000475455700013,"Stein, KF","Stein, Karen F.","Stein, KF","Stein, Karen F."
WOS:000475455700013,"Trabold, N","Trabold, Nicole","Trabold, N","Trabold, Nicole"
WOS:000475455700013,"Connelly, K","Connelly, Kay","Connelly, KH","Connelly, Kay H."
WOS:000477647700001,"Karpov, N","Karpov, Nikolai","Karpov, N","Karpov, Nikolai"
WOS:000477647700001,"Malikic, S","Malikic, Salem","Malikic, S","Malikic, Salem"
WOS:000477647700001,"Rahman, MK","Rahman, Md. Khaledur","Rahman, MK","Rahman, Md. Khaledur"
WOS:000477647700001,"Sahinalp, SC","Sahinalp, S. Cenk","Sahinalp, CS","Sahinalp, Cenk S."
WOS:000472215500010,"Mendes, FK","Mendes, Fabio K.","Mendes, FK","Mendes, Fabio K."
WOS:000472215500010,"Livera, AP","Livera, Andrew P.","Livera, AP","Livera, Andrew P."
WOS:000472215500010,"Hahn, MW","Hahn, Matthew W.","Hahn, MW","Hahn, Matthew W."
WOS:000475532300003,"Lam, TJ","Lam, Tony J.","Lam, TJ","Lam, Tony J."
WOS:000475532300003,"Ye, YZ","Ye, Yuzhen","Ye, YZ","Ye, Yuzhen"
WOS:000475901600042,"Sharifi, F","Sharifi, Fatemeh","Sharifi, F","Sharifi, Fatemeh"
WOS:000475901600042,"Ye, YZ","Ye, Yuzhen","Ye, YZ","Ye, Yuzhen"
WOS:000473096200016,"Schutte, UME","Schutte, Ursel M. E.","Schutte, UME","Schutte, Ursel M. E."
WOS:000473096200016,"Henning, JA","Henning, Jeremiah A.","Henning, JA","Henning, Jeremiah A."
WOS:000473096200016,"Ye, YZ","Ye, Yuzhen","Ye, YZ","Ye, Yuzhen"
WOS:000473096200016,"Bowling, A","Bowling, Annie","Bowling, A","Bowling, Annie"
WOS:000473096200016,"Ford, J","Ford, James","Ford, J","Ford, James"
WOS:000473096200016,"Genet, H","Genet, Helene","Genet, H","Genet, Helene"
WOS:000473096200016,"Waldrop, MP","Waldrop, Mark P.","Waldrop, MP","Waldrop, Mark P."
WOS:000473096200016,"Turetsky, MR","Turetsky, Merritt R.","Turetsky, MR","Turetsky, Merritt R."
WOS:000473096200016,"White, JR","White, Jeffrey R.","White, JR","White, Jeffrey R."
WOS:000473096200016,"Bever, JD","Bever, James D.","Bever, JD","Bever, James D."
WOS:000471246600006,"Yang, RY","Yang, Ruiyu","Yang, RY","Yang, Ruiyu"
WOS:000471246600006,"Jiang, YX","Jiang, Yuxiang","Jiang, YX","Jiang, Yuxiang"
WOS:000471246600006,"Mathews, S","Mathews, Scott","Mathews, S","Mathews, Scott"
WOS:000471246600006,"Housworth, EA","Housworth, Elizabeth A.","Housworth, EA","Housworth, Elizabeth A."
WOS:000471246600006,"Hahn, MW","Hahn, Matthew W.","Hahn, MW","Hahn, Matthew W."
WOS:000471246600006,"Radivojac, P","Radivojac, Predrag","Radivojac, P","Radivojac, Predrag"
WOS:000472480500017,"Malikic, S","Malikic, Salem","Malikic, S","Malikic, Salem"
WOS:000472480500017,"Jahn, K","Jahn, Katharina","Jahn, K","Jahn, Katharina"
WOS:000472480500017,"Kuipers, J","Kuipers, Jack","Kuipers, J","Kuipers, Jack"
WOS:000472480500017,"Sahinalp, SC","Sahinalp, S. Cenk","Sahinalp, CS","Sahinalp, Cenk S."
WOS:000472480500017,"Beerenwinkel, N","Beerenwinkel, Niko","Beerenwinkel, N","Beerenwinkel, Niko"
WOS:000474703000044,"Pagel, KA","Pagel, Kymberleigh A.","Pagel, KA","Pagel, Kymberleigh A."
WOS:000474703000044,"Antaki, D","Antaki, Danny","Antaki, D","Antaki, Danny"
WOS:000474703000044,"Lian, AJ","Lian, AoJie","Lian, AJ","Lian, AoJie"
WOS:000474703000044,"Mort, M","Mort, Matthew","Mort, M","Mort, Matthew"
WOS:000474703000044,"Cooper, DN","Cooper, David N.","Cooper, DN","Cooper, David N."
WOS:000474703000044,"Sebat, J","Sebat, Jonathan","Sebat, J","Sebat, Jonathan"
WOS:000474703000044,"Iakoucheva, LM","Iakoucheva, Lilia M.","Iakoucheva, LM","Iakoucheva, Lilia M."
WOS:000474703000044,"Mooney, SD","Mooney, Sean D.","Mooney, SD","Mooney, Sean D."
WOS:000474703000044,"Radivojac, P","Radivojac, Predrag","Radivojac, P","Radivojac, Predrag"
WOS:000468309500004,"Veinot, TC","Veinot, Tiffany C.","Veinot, TC","Veinot, Tiffany C."
WOS:000468309500004,"Ancker, JS","Ancker, Jessica S.","Ancker, JS","Ancker, Jessica S."
WOS:000468309500004,"Cole-Lewis, H","Cole-Lewis, Heather","Cole-Lewis, H","Cole-Lewis, Heather"
WOS:000468309500004,"Mynatt, ED","Mynatt, Elizabeth D.","Mynatt, ED","Mynatt, Elizabeth D."
WOS:000468309500004,"Parker, AG","Parker, Andrea G.","Parker, AG","Parker, Andrea G."
WOS:000468309500004,"Siek, KA","Siek, Katie A.","Siek, KA","Siek, Katie A."
WOS:000468309500004,"Mamykina, L","Mamykina, Lena","Mamykina, L","Mamykina, Lena"
WOS:000468485900001,"Misal, SA","Misal, Santosh A.","Misal, SA","Misal, Santosh A."
WOS:000468485900001,"Li, SJ","Li, Sujun","Li, SJ","Li, Sujun"
WOS:000468485900001,"Tang, HX","Tang, Haixu","Tang, HX","Tang, Haixu X."
WOS:000468485900001,"Radivojac, P","Radivojac, Predrag","Radivojac, P","Radivojac, Predrag"
WOS:000468485900001,"Reilly, JP","Reilly, James P.","Reilly, JP","Reilly, James P."
WOS:000466886300019,"Ginda, M","Ginda, Michael","Ginda, M","Ginda, Michael"
WOS:000466886300019,"Richey, MC","Richey, Michael C.","Richey, MC","Richey, Michael C."
WOS:000466886300019,"Cousino, M","Cousino, Mark","Cousino, M","Cousino, Mark"
WOS:000466886300019,"Borner, K","Borner, Katy","Borner, K","Borner, Katy"
WOS:000474890000011,"Thomas, GWC","Thomas, Gregg W. C.","Thomas, GWC","Thomas, Gregg W. C."
WOS:000474890000011,"Hahn, MW","Hahn, Matthew W.","Hahn, MW","Hahn, Matthew W."
WOS:000467965900002,"Gawronskii, AR","Gawronskii, Alexander R.","Gawronskii, AR","Gawronskii, Alexander R."
WOS:000467965900002,"Lin, YY","Lin, Yen-Yi","Lin, YY","Lin, Yen-Yi"
WOS:000467965900002,"McConeghy, B","McConeghy, Brian","McConeghy, B","McConeghy, Brian"
WOS:000467965900002,"LeBihan, S","LeBihan, Stephane","LeBihan, S","LeBihan, Stephane"
WOS:000467965900002,"Asghari, H","Asghari, Hossein","Asghari, H","Asghari, Hossein"
WOS:000467965900002,"Kockan, C","Kockan, Can","Kockan, C","Kockan, Can"
WOS:000467965900002,"Orabi, B","Orabi, Baraa","Orabi, B","Orabi, Baraa"
WOS:000467965900002,"Adra, N","Adra, Nabil","Adra, N","Adra, Nabil"
WOS:000467965900002,"Pili, R","Pili, Roberto","Pili, R","Pili, Roberto"
WOS:000467965900002,"Collins, CC","Collins, Colin C.","Collins, CC","Collins, Colin C."
WOS:000467965900002,"Sahinalp, SC","Sahinalp, S. Cenk","Sahinalp, CS","Sahinalp, Cenk S."
WOS:000467965900002,"Hach, F","Hach, Faraz","Hach, F","Hach, Faraz"
WOS:000474855400001,"Hodzic, E","Hodzic, Ermin","Hodzic, E","Hodzic, Ermin"
WOS:000474855400001,"Shrestha, R","Shrestha, Raunak","Shrestha, R","Shrestha, Raunak"
WOS:000474855400001,"Zhu, KY","Zhu, Kaiyuan","Zhu, KY","Zhu, Kaiyuan"
WOS:000474855400001,"Cheng, KY","Cheng, Kuoyuan","Cheng, KY","Cheng, Kuoyuan"
WOS:000474855400001,"Collins, CC","Collins, Colin C.","Collins, CC","Collins, Colin C."
WOS:000474855400001,"Sahinalp, SC","Sahinalp, S. Cenk","Sahinalp, CS","Sahinalp, Cenk S."
WOS:000478081101313,"Gondim, D","Gondim, Dibson","Gondim, D","Gondim, Dibson"
WOS:000478081101313,"Al-Obaidy, K","Al-Obaidy, Khaleel","Al-Obaidy, K","Al-Obaidy, Khaleel"
WOS:000478081101313,"Gibson, N","Gibson, Natasha","Gibson, N","Gibson, Natasha"
WOS:000478081101313,"Ju, YN","Ju, Yingnan","Ju, YN","Ju, Yingnan"
WOS:000478081101313,"Crandall, D","Crandall, David","Crandall, DJ","Crandall, David J."
WOS:000478081101313,"Idrees, M","Idrees, Muhammad","Idrees, M","Idrees, Muhammad"
WOS:000478081101313,"Eble, J","Eble, John","Eble, J","Eble, John"
WOS:000478081101313,"Grignon, D","Grignon, David","Grignon, D","Grignon, David"
WOS:000478081101313,"Cheng, L","Cheng, Liang","Cheng, L","Cheng, Liang"
WOS:000478915502272,"Gondim, D","Gondim, Dibson","Gondim, D","Gondim, Dibson"
WOS:000478915502272,"Al-Obaidy, K","Al-Obaidy, Khaleel","Al-Obaidy, K","Al-Obaidy, Khaleel"
WOS:000478915502272,"Gibson, N","Gibson, Natasha","Gibson, N","Gibson, Natasha"
WOS:000478915502272,"Ju, YN","Ju, Yingnan","Ju, YN","Ju, Yingnan"
WOS:000478915502272,"Crandall, D","Crandall, David","Crandall, DJ","Crandall, David J."
WOS:000478915502272,"Idrees, M","Idrees, Muhammad","Idrees, M","Idrees, Muhammad"
WOS:000478915502272,"Eble, J","Eble, John","Eble, J","Eble, John"
WOS:000478915502272,"Grignon, D","Grignon, David","Grignon, D","Grignon, David"
WOS:000478915502272,"Cheng, L","Cheng, Liang","Cheng, L","Cheng, Liang"
WOS:000465219200010,"Ayala, D","Ayala, Diego","Ayala, D","Ayala, Diego"
WOS:000465219200010,"Zhang, S","Zhang, Simo","Zhang, S","Zhang, Simo"
WOS:000465219200010,"Chateau, M","Chateau, Mathieu","Chateau, M","Chateau, Mathieu"
WOS:000465219200010,"Fouet, C","Fouet, Caroline","Fouet, C","Fouet, Caroline"
WOS:000465219200010,"Morlais, I","Morlais, Isabelle","Morlais, I","Morlais, Isabelle"
WOS:000465219200010,"Costantini, C","Costantini, Carlo","Costantini, C","Costantini, Carlo"
WOS:000465219200010,"Hahn, MW","Hahn, Matthew W.","Hahn, MW","Hahn, Matthew W."
WOS:000465219200010,"Besansky, NJ","Besansky, Nora J.","Besansky, NJ","Besansky, Nora J."
WOS:000465219200022,"Adrion, JR","Adrion, Jeffrey R.","Adrion, JR","Adrion, Jeffrey R."
WOS:000465219200022,"Begun, DJ","Begun, David J.","Begun, DJ","Begun, David J."
WOS:000465219200022,"Hahn, MW","Hahn, Matthew W.","Hahn, MW","Hahn, Matthew W."
WOS:000463982000009,"Levin, N","Levin, Noam","Levin, N","Levin, Noam"
WOS:000463982000009,"Ali, S","Ali, Saleem","Ali, S","Ali, Saleem"
WOS:000463982000009,"Crandall, D","Crandall, David","Crandall, DJ","Crandall, David J."
WOS:000463982000009,"Kark, S","Kark, Salit","Kark, S","Kark, Salit"
