id,name,name-revised,fullname,fullname-revised
WOS:000510337700019,"Mustonen, V","Mustonen, V","Mustonen, Ville","Mustonen, Ville"
WOS:000510337700019,"Yang, HT","Yang, HT","Yang, Hsih-Te","Yang, Hsih-Te"
WOS:000510337700019,"Lee, KR","Lee, KR","Lee, Ken-Ray","Lee, Ken-Ray"
WOS:000510337700019,"Ji, Y","Ji, Y","Ji, Yuan","Ji, Yuan"
WOS:000510337700019,"Sengupta, S","Sengupta, S","Sengupta, Subhajit","Sengupta, Subhajit"
WOS:000510337700019,"Rudewicz, J","Rudewicz, J","Rudewicz, Justine","Rudewicz, Justine"
WOS:000510337700019,"Nikolski, M","Nikolski, M","Nikolski, Macha","Nikolski, Macha"
WOS:000510337700019,"Schaeverbeke, Q","Schaeverbeke, Q","Schaeverbeke, Quentin","Schaeverbeke, Quentin"
WOS:000510337700019,"Yuan, K","Yuan, K","Yuan, Ke","Yuan, Ke"
WOS:000510337700019,"Markowetz, F","Markowetz, F","Markowetz, Florian","Markowetz, Florian"
WOS:000510337700019,"Macintyre, G","Macintyre, G","Macintyre, Geoff","Macintyre, Geoff"
WOS:000510337700019,"Cmero, M","Cmero, M","Cmero, Marek","Cmero, Marek"
WOS:000510337700019,"Chaudhary, B","Chaudhary, B","Chaudhary, Belal","Chaudhary, Belal"
WOS:000510337700019,"Leshchiner, I","Leshchiner, I","Leshchiner, Ignaty","Leshchiner, Ignaty"
WOS:000510337700019,"Livitz, D","Livitz, D","Livitz, Dimitri","Livitz, Dimitri"
WOS:000510337700019,"Getz, G","Getz, G","Getz, Gad","Getz, Gad"
WOS:000510337700019,"Loher, P","Loher, P","Loher, Phillipe","Loher, Phillipe"
WOS:000510337700019,"Yu, KX","Yu, KX","Yu, Kaixian","Yu, Kaixian"
WOS:000510337700019,"Wang, WY","Wang, WY","Wang, Wenyi","Wang, Wenyi"
WOS:000510337700019,"Zhu, HT","Zhu, HT","Zhu, Hongtu","Zhu, Hongtu"
WOS:000461866400037,"Simmons, S","Simmons, S","Simmons, Sean","Simmons, Sean"
WOS:000461866400037,"Berger, B","Berger, B","Berger, Bonnie","Berger, Bonnie"
WOS:000461866400037,"Sahinalp, C","Sahinalp, CS","Sahinalp, Cenk","Sahinalp, Cenk S"
WOS:000438743900001,"Sahinalp, C","Sahinalp, CS","Sahinalp, Cenk","Sahinalp, Cenk S"
WOS:000434283300011,"Yamada, M","Yamada, M","Yamada, Makoto","Yamada, Makoto"
WOS:000434283300011,"Tang, JL","Tang, JL","Tang, Jiliang","Tang, Jiliang"
WOS:000434283300011,"Lugo-Martinez, J","Lugo-Martinez, J","Lugo-Martinez, Jose","Lugo-Martinez, Jose"
WOS:000434283300011,"Hodzic, E","Hodzic, E","Hodzic, Ermin","Hodzic, Ermin"
WOS:000434283300011,"Shrestha, R","Shrestha, R","Shrestha, Raunak","Shrestha, Raunak"
WOS:000434283300011,"Saha, A","Saha, A","Saha, Avishek","Saha, Avishek"
WOS:000434283300011,"Ouyang, H","Ouyang, H","Ouyang, Hua","Ouyang, Hua"
WOS:000434283300011,"Yin, DW","Yin, DW","Yin, Dawei","Yin, Dawei"
WOS:000434283300011,"Mamitsuka, H","Mamitsuka, H","Mamitsuka, Hiroshi","Mamitsuka, Hiroshi"
WOS:000434283300011,"Sahinalp, C","Sahinalp, CS","Sahinalp, Cenk","Sahinalp, Cenk S"
WOS:000434283300011,"Radivojac, P","Radivojac, P","Radivojac, Predrag","Radivojac, Predrag"
WOS:000434283300011,"Menczer, F","Menczer, F","Menczer, Filippo","Menczer, Filippo"
WOS:000434283300011,"Chang, Y","Chang, Y","Chang, Yi","Chang, Yi"
WOS:000433621000009,"Zhang, YJ","Zhang, YJ","Zhang, Yajia","Zhang, Yajia"
WOS:000433621000009,"Pitchiaya, S","Pitchiaya, S","Pitchiaya, Sethuramasundaram","Pitchiaya, Sethuramasundaram"
WOS:000433621000009,"Cieslik, M","Cieslik, M","Cieslik, Marcin","Cieslik, Marcin"
WOS:000433621000009,"Niknafs, YS","Niknafs, YS","Niknafs, Yashar S.","Niknafs, Yashar S."
WOS:000433621000009,"Tien, JCY","Tien, JCY","Tien, Jean C. -Y.","Tien, Jean C. -Y."
WOS:000433621000009,"Hosono, Y","Hosono, Y","Hosono, Yasuyuki","Hosono, Yasuyuki"
WOS:000433621000009,"Iyer, MK","Iyer, MK","Iyer, Matthew K.","Iyer, Matthew K."
WOS:000433621000009,"Yazdani, S","Yazdani, S","Yazdani, Sahr","Yazdani, Sahr"
WOS:000433621000009,"Subramaniam, S","Subramaniam, S","Subramaniam, Shruthi","Subramaniam, Shruthi"
WOS:000433621000009,"Shukla, SK","Shukla, SK","Shukla, Sudhanshu K.","Shukla, Sudhanshu K."
WOS:000433621000009,"Jiang, X","Jiang, X","Jiang, Xia","Jiang, Xia"
WOS:000433621000009,"Wang, LS","Wang, LS","Wang, Lisha","Wang, Lisha"
WOS:000433621000009,"Liu, TY","Liu, TY","Liu, Tzu-Ying","Liu, Tzu-Ying"
WOS:000433621000009,"Uhl, M","Uhl, M","Uhl, Michael","Uhl, Michael"
WOS:000433621000009,"Gawronski, AR","Gawronski, AR","Gawronski, Alexander R.","Gawronski, Alexander R."
WOS:000433621000009,"Qiao, YY","Qiao, YY","Qiao, Yuanyuan","Qiao, Yuanyuan"
WOS:000433621000009,"Xiao, LB","Xiao, LB","Xiao, Lanbo","Xiao, Lanbo"
WOS:000433621000009,"Dhanasekaran, SM","Dhanasekaran, SM","Dhanasekaran, Saravana M.","Dhanasekaran, Saravana M."
WOS:000433621000009,"Juckette, KM","Juckette, KM","Juckette, Kristin M.","Juckette, Kristin M."
WOS:000433621000009,"Kunju, LP","Kunju, LP","Kunju, Lakshmi P.","Kunju, Lakshmi P."
WOS:000433621000009,"Cao, XH","Cao, XH","Cao, Xuhong","Cao, Xuhong"
WOS:000433621000009,"Patel, U","Patel, U","Patel, Utsav","Patel, Utsav"
WOS:000433621000009,"Batish, M","Batish, M","Batish, Mona","Batish, Mona"
WOS:000433621000009,"Shukla, GC","Shukla, GC","Shukla, Girish C.","Shukla, Girish C."
WOS:000433621000009,"Paulsen, MT","Paulsen, MT","Paulsen, Michelle T.","Paulsen, Michelle T."
WOS:000433621000009,"Ljungman, M","Ljungman, M","Ljungman, Mats","Ljungman, Mats"
WOS:000433621000009,"Jiang, H","Jiang, H","Jiang, Hui","Jiang, Hui"
WOS:000433621000009,"Mehra, R","Mehra, R","Mehra, Rohit","Mehra, Rohit"
WOS:000433621000009,"Backofen, R","Backofen, R","Backofen, Rolf","Backofen, Rolf"
WOS:000433621000009,"Sahinalp, CS","Sahinalp, CS","Sahinalp, Cenk S.","Sahinalp, Cenk S"
WOS:000433621000009,"Freier, SM","Freier, SM","Freier, Susan M.","Freier, Susan M."
WOS:000433621000009,"Watt, AT","Watt, AT","Watt, Andrew T.","Watt, Andrew T."
WOS:000433621000009,"Guo, SL","Guo, SL","Guo, Shuling","Guo, Shuling"
WOS:000433621000009,"Wei, JT","Wei, JT","Wei, John T.","Wei, John T."
WOS:000433621000009,"Feng, FY","Feng, FY","Feng, Felix Y.","Feng, Felix Y."
WOS:000433621000009,"Malik, R","Malik, R","Malik, Rohit","Malik, Rohit"
WOS:000433621000009,"Chinnaiyan, AM","Chinnaiyan, AM","Chinnaiyan, Arul M.","Chinnaiyan, Arul M."
WOS:000438571600001,"Ramnarine, VR","Ramnarine, VR","Ramnarine, Varune Rohan","Ramnarine, Varune Rohan"
WOS:000438571600001,"Alshalalfa, M","Alshalalfa, M","Alshalalfa, Mohammed","Alshalalfa, Mohammed"
WOS:000438571600001,"Mo, F","Mo, F","Mo, Fan","Mo, Fan"
WOS:000438571600001,"Nabavi, N","Nabavi, N","Nabavi, Noushin","Nabavi, Noushin"
WOS:000438571600001,"Erho, N","Erho, N","Erho, Nicholas","Erho, Nicholas"
WOS:000438571600001,"Takhar, M","Takhar, M","Takhar, Mandeep","Takhar, Mandeep"
WOS:000438571600001,"Shukin, R","Shukin, R","Shukin, Robert","Shukin, Robert"
WOS:000438571600001,"Brahmbhatt, S","Brahmbhatt, S","Brahmbhatt, Sonal","Brahmbhatt, Sonal"
WOS:000438571600001,"Gawronski, A","Gawronski, A","Gawronski, Alexander","Gawronski, Alexander"
WOS:000438571600001,"Kobelev, M","Kobelev, M","Kobelev, Maxim","Kobelev, Maxim"
WOS:000438571600001,"Nouri, M","Nouri, M","Nouri, Mannan","Nouri, Mannan"
WOS:000438571600001,"Lin, D","Lin, D","Lin, Dong","Lin, Dong"
WOS:000438571600001,"Tsai, H","Tsai, H","Tsai, Harrison","Tsai, Harrison"
WOS:000438571600001,"Lotan, TL","Lotan, TL","Lotan, Tamara L.","Lotan, Tamara L."
WOS:000438571600001,"Karnes, RJ","Karnes, RJ","Karnes, R. Jefferey","Karnes, R. Jefferey"
WOS:000438571600001,"Rubin, MA","Rubin, MA","Rubin, Mark A.","Rubin, Mark A."
WOS:000438571600001,"Zoubeidi, A","Zoubeidi, A","Zoubeidi, Amina","Zoubeidi, Amina"
WOS:000438571600001,"Gleave, ME","Gleave, ME","Gleave, Martin E.","Gleave, Martin E."
WOS:000438571600001,"Sahinalp, C","Sahinalp, CS","Sahinalp, Cenk","Sahinalp, Cenk S"
WOS:000438571600001,"Wyatt, AW","Wyatt, AW","Wyatt, Alexander W.","Wyatt, Alexander W."
WOS:000438571600001,"Volik, SV","Volik, SV","Volik, Stanislav V.","Volik, Stanislav V."
WOS:000438571600001,"Beltran, H","Beltran, H","Beltran, Himisha","Beltran, Himisha"
WOS:000438571600001,"Davicioni, E","Davicioni, E","Davicioni, Elai","Davicioni, Elai"
WOS:000438571600001,"Wang, YZ","Wang, YZ","Wang, Yuzhuo","Wang, Yuzhuo"
WOS:000438571600001,"Collins, CC","Collins, CC","Collins, Colin C.","Collins, Colin C."
WOS:000410417300008,"Chen, F","Chen, F","Chen, Feng","Chen, Feng"
WOS:000410417300008,"Wang, CH","Wang, CH","Wang, Chenghong","Wang, Chenghong"
WOS:000410417300008,"Dai, WR","Dai, WR","Dai, Wenrui","Dai, Wenrui"
WOS:000410417300008,"Jiang, XQ","Jiang, XQ","Jiang, Xiaoqian","Jiang, Xiaoqian"
WOS:000410417300008,"Mohammed, N","Mohammed, N","Mohammed, Noman","Mohammed, Noman"
WOS:000410417300008,"Al Aziz, MM","Al Aziz, MM","Al Aziz, Md Momin","Al Aziz, Md Momin"
WOS:000410417300008,"Sadat, MN","Sadat, MN","Sadat, Md Nazmus","Sadat, Md Nazmus"
WOS:000410417300008,"Sahinalp, C","Sahinalp, CS","Sahinalp, Cenk","Sahinalp, Cenk S"
WOS:000410417300008,"Lauter, K","Lauter, K","Lauter, Kristin","Lauter, Kristin"
WOS:000410417300008,"Wang, S","Wang, S","Wang, Shuang","Wang, Shuang"
WOS:000397091600004,"Kockan, C","Kockan, C","Kockan, Can","Kockan, Can"
WOS:000397091600004,"Hach, F","Hach, F","Hach, Faraz","Hach, Faraz"
WOS:000397091600004,"Sarrafi, I","Sarrafi, I","Sarrafi, Iman","Sarrafi, Iman"
WOS:000397091600004,"Bell, RH","Bell, RH","Bell, Robert H.","Bell, Robert H."
WOS:000397091600004,"McConeghy, B","McConeghy, B","McConeghy, Brian","McConeghy, Brian"
WOS:000397091600004,"Beja, K","Beja, K","Beja, Kevin","Beja, Kevin"
WOS:000397091600004,"Haegert, A","Haegert, A","Haegert, Anne","Haegert, Anne"
WOS:000397091600004,"Wyatt, AW","Wyatt, AW","Wyatt, Alexander W.","Wyatt, Alexander W."
WOS:000397091600004,"Volik, SV","Volik, SV","Volik, Stanislav V.","Volik, Stanislav V."
WOS:000397091600004,"Chi, KN","Chi, KN","Chi, Kim N.","Chi, Kim N."
WOS:000397091600004,"Collins, CC","Collins, CC","Collins, Colin C.","Collins, Colin C."
WOS:000397091600004,"Sahinalp, C","Sahinalp, CS","Sahinalp, Cenk","Sahinalp, Cenk S"
WOS:000385256500021,"Niknafs, YS","Niknafs, YS","Niknafs, Yashar S.","Niknafs, Yashar S."
WOS:000385256500021,"Han, SM","Han, SM","Han, Sumin","Han, Sumin"
WOS:000385256500021,"Ma, T","Ma, T","Ma, Teng","Ma, Teng"
WOS:000385256500021,"Speers, C","Speers, C","Speers, Corey","Speers, Corey"
WOS:000385256500021,"Zhang, C","Zhang, C","Zhang, Chao","Zhang, Chao"
WOS:000385256500021,"Wilder-Romans, K","Wilder-Romans, K","Wilder-Romans, Kari","Wilder-Romans, Kari"
WOS:000385256500021,"Iyer, MK","Iyer, MK","Iyer, Matthew K.","Iyer, Matthew K."
WOS:000385256500021,"Pitchiaya, S","Pitchiaya, S","Pitchiaya, Sethuramasundaram","Pitchiaya, Sethuramasundaram"
WOS:000385256500021,"Malik, R","Malik, R","Malik, Rohit","Malik, Rohit"
WOS:000385256500021,"Hosono, Y","Hosono, Y","Hosono, Yasuyuki","Hosono, Yasuyuki"
WOS:000385256500021,"Prensner, JR","Prensner, JR","Prensner, John R.","Prensner, John R."
WOS:000385256500021,"Poliakov, A","Poliakov, A","Poliakov, Anton","Poliakov, Anton"
WOS:000385256500021,"Singhal, U","Singhal, U","Singhal, Udit","Singhal, Udit"
WOS:000385256500021,"Xiao, LB","Xiao, LB","Xiao, Lanbo","Xiao, Lanbo"
WOS:000385256500021,"Kregel, S","Kregel, S","Kregel, Steven","Kregel, Steven"
WOS:000385256500021,"Siebenaler, RF","Siebenaler, RF","Siebenaler, Ronald F.","Siebenaler, Ronald F."
WOS:000385256500021,"Zhao, SG","Zhao, SG","Zhao, Shuang G.","Zhao, Shuang G."
WOS:000385256500021,"Uhl, M","Uhl, M","Uhl, Michael","Uhl, Michael"
WOS:000385256500021,"Gawronski, A","Gawronski, A","Gawronski, Alexander","Gawronski, Alexander"
WOS:000385256500021,"Hayes, DF","Hayes, DF","Hayes, Daniel F.","Hayes, Daniel F."
WOS:000385256500021,"Pierce, LJ","Pierce, LJ","Pierce, Lori J.","Pierce, Lori J."
WOS:000385256500021,"Cao, XH","Cao, XH","Cao, Xuhong","Cao, Xuhong"
WOS:000385256500021,"Collins, C","Collins, C","Collins, Colin","Collins, Colin"
WOS:000385256500021,"Backofen, R","Backofen, R","Backofen, Rolf","Backofen, Rolf"
WOS:000385256500021,"Sahinalp, CS","Sahinalp, CS","Sahinalp, Cenk S.","Sahinalp, Cenk S"
WOS:000385256500021,"Rae, JM","Rae, JM","Rae, James M.","Rae, James M."
WOS:000385256500021,"Chinnaiyan, AM","Chinnaiyan, AM","Chinnaiyan, Arul M.","Chinnaiyan, Arul M."
WOS:000385256500021,"Feng, FY","Feng, FY","Feng, Felix Y.","Feng, Felix Y."
WOS:000395772700010,"Simmons, S","Simmons, S","Simmons, Sean","Simmons, Sean"
WOS:000395772700010,"Sahinalp, C","Sahinalp, CS","Sahinalp, Cenk","Sahinalp, Cenk S"
WOS:000395772700010,"Berger, B","Berger, B","Berger, Bonnie","Berger, Bonnie"
WOS:000355665800002,"Malikic, S","Malikic, S","Malikic, Salem","Malikic, Salem"
WOS:000355665800002,"McPherson, AW","McPherson, AW","McPherson, Andrew W.","McPherson, Andrew W."
WOS:000355665800002,"Donmez, N","Donmez, N","Donmez, Nilgun","Donmez, Nilgun"
WOS:000355665800002,"Sahinalp, CS","Sahinalp, CS","Sahinalp, Cenk S.","Sahinalp, Cenk S"
WOS:000331225100280,"Gokcumen, O","Gokcumen, O","Gokcumen, Omer","Gokcumen, Omer"
WOS:000331225100280,"Alkan, C","Alkan, C","Alkan, Can","Alkan, Can"
WOS:000331225100280,"Kavak, P","Kavak, P","Kavak, Pinar","Kavak, Pinar"
WOS:000331225100280,"Somel, M","Somel, M","Somel, Mehmet","Somel, Mehmet"
WOS:000331225100280,"Ugurlu, S","Ugurlu, S","Ugurlu, Serkan","Ugurlu, Serkan"
WOS:000331225100280,"Dal, E","Dal, E","Dal, Elif","Dal, Elif"
WOS:000331225100280,"Bugra-Bilge, K","Bugra-Bilge, K","Bugra-Bilge, Kuyas","Bugra-Bilge, Kuyas"
WOS:000331225100280,"Gungor, T","Gungor, T","Gungor, Tunga","Gungor, Tunga"
WOS:000331225100280,"Sahinalp, C","Sahinalp, CS","Sahinalp, Cenk","Sahinalp, Cenk S"
WOS:000331225100280,"Ozeren, N","Ozeren, N","Ozeren, Nesrin","Ozeren, Nesrin"
WOS:000331225100280,"Bekpen, C","Bekpen, C","Bekpen, Cemalettin","Bekpen, Cemalettin"
WOS:000539417200011,"Yuan, L","Yuan, L","Yuan, Lei","Yuan, Lei"
WOS:000539417200011,"Xiang, V","Xiang, V","Xiang, Violet","Xiang, Violet"
WOS:000539417200011,"Crandall, D","Crandall, DJ","Crandall, David","Crandall, David J"
WOS:000539417200011,"Smith, L","Smith, L","Smith, Linda","Smith, Linda"
WOS:000549822000002,"Reza, MA","Reza, MA","Reza, Md Alimoor","Reza, Md Alimoor"
WOS:000549822000002,"Chen, K","Chen, K","Chen, Kai","Chen, Kai"
WOS:000549822000002,"Naik, A","Naik, A","Naik, Akshay","Naik, Akshay"
WOS:000549822000002,"Crandall, DJ","Crandall, DJ","Crandall, David J.","Crandall, David J"
WOS:000549822000002,"Jung, SH","Jung, SH","Jung, Soon-Heung","Jung, Soon-Heung"
WOS:000489785800010,"Berger, V","Berger, V","Berger, Victor","Berger, Victor"
WOS:000489785800010,"Xu, MZ","Xu, MZ","Xu, Mingze","Xu, Mingze"
WOS:000489785800010,"Al-Ibadi, M","Al-Ibadi, M","Al-Ibadi, Mohanad","Al-Ibadi, Mohanad"
WOS:000489785800010,"Chu, SE","Chu, SE","Chu, Shane","Chu, Shane"
WOS:000489785800010,"Crandall, D","Crandall, DJ","Crandall, David","Crandall, David J"
WOS:000489785800010,"Paden, J","Paden, J","Paden, John","Paden, John"
WOS:000489785800010,"Fox, GC","Fox, GC","Fox, Geoffrey Charles","Fox, Geoffrey C"
WOS:000478081101313,"Gondim, D","Gondim, D","Gondim, Dibson","Gondim, Dibson"
WOS:000478081101313,"Al-Obaidy, K","Al-Obaidy, K","Al-Obaidy, Khaleel","Al-Obaidy, Khaleel"
WOS:000478081101313,"Gibson, N","Gibson, N","Gibson, Natasha","Gibson, Natasha"
WOS:000478081101313,"Ju, YN","Ju, YN","Ju, Yingnan","Ju, Yingnan"
WOS:000478081101313,"Crandall, D","Crandall, DJ","Crandall, David","Crandall, David J"
WOS:000478081101313,"Idrees, M","Idrees, M","Idrees, Muhammad","Idrees, Muhammad"
WOS:000478081101313,"Eble, J","Eble, J","Eble, John","Eble, John"
WOS:000478081101313,"Grignon, D","Grignon, D","Grignon, David","Grignon, David"
WOS:000478081101313,"Cheng, L","Cheng, L","Cheng, Liang","Cheng, Liang"
WOS:000478915502272,"Gondim, D","Gondim, D","Gondim, Dibson","Gondim, Dibson"
WOS:000478915502272,"Al-Obaidy, K","Al-Obaidy, K","Al-Obaidy, Khaleel","Al-Obaidy, Khaleel"
WOS:000478915502272,"Gibson, N","Gibson, N","Gibson, Natasha","Gibson, Natasha"
WOS:000478915502272,"Ju, YN","Ju, YN","Ju, Yingnan","Ju, Yingnan"
WOS:000478915502272,"Crandall, D","Crandall, DJ","Crandall, David","Crandall, David J"
WOS:000478915502272,"Idrees, M","Idrees, M","Idrees, Muhammad","Idrees, Muhammad"
WOS:000478915502272,"Eble, J","Eble, J","Eble, John","Eble, John"
WOS:000478915502272,"Grignon, D","Grignon, D","Grignon, David","Grignon, David"
WOS:000478915502272,"Cheng, L","Cheng, L","Cheng, Liang","Cheng, Liang"
WOS:000463982000009,"Levin, N","Levin, N","Levin, Noam","Levin, Noam"
WOS:000463982000009,"Ali, S","Ali, S","Ali, Saleem","Ali, Saleem"
WOS:000463982000009,"Crandall, D","Crandall, DJ","Crandall, David","Crandall, David J"
WOS:000463982000009,"Kark, S","Kark, S","Kark, Salit","Kark, Salit"
WOS:000531438102018,"Yang, JW","Yang, JW","Yang, Jianwei","Yang, Jianwei"
WOS:000531438102018,"Ren, ZL","Ren, ZL","Ren, Zhile","Ren, Zhile"
WOS:000531438102018,"Xu, MZ","Xu, MZ","Xu, Mingze","Xu, Mingze"
WOS:000531438102018,"Chen, XL","Chen, XL","Chen, Xinlei","Chen, Xinlei"
WOS:000531438102018,"Crandall, DJ","Crandall, DJ","Crandall, David J.","Crandall, David J"
WOS:000531438102018,"Parikh, D","Parikh, D","Parikh, Devi","Parikh, Devi"
WOS:000531438102018,"Batra, D","Batra, D","Batra, Dhruv","Batra, Dhruv"
WOS:000548549200052,"Xu, MZ","Xu, MZ","Xu, Mingze","Xu, Mingze"
WOS:000548549200052,"Gao, MF","Gao, MF","Gao, Mingfei","Gao, Mingfei"
WOS:000548549200052,"Chen, YT","Chen, YT","Chen, Yi-Ting","Chen, Yi-Ting"
WOS:000548549200052,"Davis, LS","Davis, LS","Davis, Larry S.","Davis, Larry S."
WOS:000548549200052,"Crandall, DJ","Crandall, DJ","Crandall, David J.","Crandall, David J"
WOS:000548549204036,"Wang, WG","Wang, WG","Wang, Wenguan","Wang, Wenguan"
WOS:000548549204036,"Lu, XK","Lu, XK","Lu, Xiankai","Lu, Xiankai"
WOS:000548549204036,"Shen, JB","Shen, JB","Shen, Jianbing","Shen, Jianbing"
WOS:000548549204036,"Crandall, D","Crandall, DJ","Crandall, David","Crandall, David J"
WOS:000548549204036,"Shao, L","Shao, L","Shao, Ling","Shao, Ling"
WOS:000543001500042,"Menzel, S","Menzel, S","Menzel, Suzanne","Menzel, Suzanne"
WOS:000543001500042,"Siek, KA","Siek, KA","Siek, Katie A.","Siek, Katie A"
WOS:000543001500042,"Crandall, D","Crandall, DJ","Crandall, David","Crandall, David J"
