id,name,name-revised,fullname,fullname-revised
WOS:000546677400002,"Zhang, YZ","Zhang, YZ","Zhang, Yongzhe","Zhang, Yongzhe"
WOS:000546677400002,"Azad, A","Azad, A","Azad, Ariful","Azad, Ariful"
WOS:000546677400002,"Buluc, A","Buluc, A","Buluc, Aydin","Buluc, Aydin"
WOS:000508190300015,"Yelick, K","Yelick, K","Yelick, Katherine","Yelick, Katherine"
WOS:000508190300015,"Buluc, A","Buluc, A","Buluc, Aydin","Buluc, Aydin"
WOS:000508190300015,"Awan, M","Awan, M","Awan, Muaaz","Awan, Muaaz"
WOS:000508190300015,"Azad, A","Azad, A","Azad, Ariful","Azad, Ariful"
WOS:000508190300015,"Brock, B","Brock, B","Brock, Benjamin","Brock, Benjamin"
WOS:000508190300015,"Egan, R","Egan, R","Egan, Rob","Egan, Rob"
WOS:000508190300015,"Ekanayake, S","Ekanayake, S","Ekanayake, Saliya","Ekanayake, Saliya"
WOS:000508190300015,"Ellis, M","Ellis, M","Ellis, Marquita","Ellis, Marquita"
WOS:000508190300015,"Georganas, E","Georganas, E","Georganas, Evangelos","Georganas, Evangelos"
WOS:000508190300015,"Guidi, G","Guidi, G","Guidi, Giulia","Guidi, Giulia"
WOS:000508190300015,"Hofmeyr, S","Hofmeyr, S","Hofmeyr, Steven","Hofmeyr, Steven"
WOS:000508190300015,"Selvitopi, O","Selvitopi, O","Selvitopi, Oguz","Selvitopi, Oguz"
WOS:000508190300015,"Teodoropol, C","Teodoropol, C","Teodoropol, Cristina","Teodoropol, Cristina"
WOS:000508190300015,"Oliker, L","Oliker, L","Oliker, Leonid","Oliker, Leonid"
WOS:000501649400011,"Nagasaka, Y","Nagasaka, Y","Nagasaka, Yusuke","Nagasaka, Yusuke"
WOS:000501649400011,"Matsuoka, S","Matsuoka, S","Matsuoka, Satoshi","Matsuoka, Satoshi"
WOS:000501649400011,"Azad, A","Azad, A","Azad, Ariful","Azad, Ariful"
WOS:000501649400011,"Buluc, A","Buluc, A","Buluc, Aydin","Buluc, Aydin"
WOS:000539043300001,"Azad, A","Azad, A","Azad, Ariful","Azad, Ariful"
WOS:000539043300001,"Buluc, A","Buluc, A","Buluc, Aydin","Buluc, Aydin"
WOS:000510337700019,"Salcedo, A","Salcedo, A","Salcedo, Adriana","Salcedo, Adriana"
WOS:000510337700019,"Tarabichi, M","Tarabichi, M","Tarabichi, Maxime","Tarabichi, Maxime"
WOS:000510337700019,"Espiritu, SMG","Espiritu, SMG","Espiritu, Shadrielle Melijah G.","Espiritu, Shadrielle Melijah G."
WOS:000510337700019,"Deshwar, AG","Deshwar, AG","Deshwar, Amit G.","Deshwar, Amit G."
WOS:000510337700019,"David, M","David, M","David, Matei","David, Matei"
WOS:000510337700019,"Wilson, NM","Wilson, NM","Wilson, Nathan M.","Wilson, Nathan M."
WOS:000510337700019,"Dentro, S","Dentro, S","Dentro, Stefan","Dentro, Stefan"
WOS:000510337700019,"Wintersinger, JA","Wintersinger, JA","Wintersinger, Jeff A.","Wintersinger, Jeff A."
WOS:000510337700019,"Liu, LY","Liu, LY","Liu, Lydia Y.","Liu, Lydia Y."
WOS:000510337700019,"Ko, M","Ko, M","Ko, Minjeong","Ko, Minjeong"
WOS:000510337700019,"Sivanandan, S","Sivanandan, S","Sivanandan, Srinivasan","Sivanandan, Srinivasan"
WOS:000510337700019,"Zhang, HJ","Zhang, HJ","Zhang, Hongjiu","Zhang, Hongjiu"
WOS:000510337700019,"Zhu, KY","Zhu, KY","Zhu, Kaiyi","Zhu, Kaiyi"
WOS:000510337700019,"Yang, THO","Yang, THO","Ou Yang, Tai-Hsien","Ou Yang, Tai-Hsien"
WOS:000510337700019,"Chilton, JM","Chilton, JM","Chilton, John M.","Chilton, John M."
WOS:000510337700019,"Buchanan, A","Buchanan, A","Buchanan, Alex","Buchanan, Alex"
WOS:000510337700019,"Lalansingh, CM","Lalansingh, CM","Lalansingh, Christopher M.","Lalansingh, Christopher M."
WOS:000510337700019,"P'ng, C","P'ng, C","P'ng, Christine","P'ng, Christine"
WOS:000510337700019,"Anghel, CV","Anghel, CV","Anghel, Catalina V.","Anghel, Catalina V."
WOS:000510337700019,"Umar, I","Umar, I","Umar, Imaad","Umar, Imaad"
WOS:000510337700019,"Lo, B","Lo, B","Lo, Bryan","Lo, Bryan"
WOS:000510337700019,"Zou, W","Zou, W","Zou, William","Zou, William"
WOS:000510337700019,"Simpson, JT","Simpson, JT","Simpson, Jared T.","Simpson, Jared T."
WOS:000510337700019,"Stuart, JM","Stuart, JM","Stuart, Joshua M.","Stuart, Joshua M."
WOS:000510337700019,"Anastassiou, D","Anastassiou, D","Anastassiou, Dimitris","Anastassiou, Dimitris"
WOS:000510337700019,"Guan, YF","Guan, YF","Guan, Yuanfang","Guan, Yuanfang"
WOS:000510337700019,"Ewing, AD","Ewing, AD","Ewing, Adam D.","Ewing, Adam D."
WOS:000510337700019,"Ellrott, K","Ellrott, K","Ellrott, Kyle","Ellrott, Kyle"
WOS:000510337700019,"Wedge, DC","Wedge, DC","Wedge, David C.","Wedge, David C."
WOS:000510337700019,"Morris, Q","Morris, Q","Morris, Quaid","Morris, Quaid"
WOS:000510337700019,"Van Loo, P","Van Loo, P","Van Loo, Peter","Van Loo, Peter"
WOS:000510337700019,"Boutros, PC","Boutros, PC","Boutros, Paul C.","Boutros, Paul C."
WOS:000510337700019,"Jha, A","Jha, A","Jha, Alokkumar","Jha, Alokkumar"
WOS:000510337700019,"Huang, TX","Huang, TX","Huang, Tanxiao","Huang, Tanxiao"
WOS:000510337700019,"Yang, TP","Yang, TP","Yang, Tsun-Po","Yang, Tsun-Po"
WOS:000510337700019,"Peifer, M","Peifer, M","Peifer, Martin","Peifer, Martin"
WOS:000510337700019,"Sahinalp, C","Sahinalp, CS","Sahinalp, Cenk","Sahinalp, Cenk S"
WOS:000510337700019,"Malikic, S","Malikic, S","Malikic, Salem","Malikic, Salem"
WOS:000510337700019,"V?zquez-Garc?a, I","V?zquez-Garc?a, I","Vazquez-Garcia, Ignacio","Vazquez-Garcia, Ignacio"
